file,outcome,power,n_tokens,cross_signal,observed_energy,raw_reliability,shrinkage
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs_demixed,30.0,125,6.101268594532882,8.764783725635159,0.6961117108557907,0.6961117108557907
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs_demixed,45.0,125,31.208272957807843,33.18871177996875,0.9403279393520717,0.9403279393520717
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs_demixed,60.0,125,30.989729270862878,32.56363198530359,0.951666855983662,0.951666855983662
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs,30.0,125,7.737081577712014,16.42273973615829,0.471120026378858,0.471120026378858
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs,45.0,125,34.484910231110874,43.637106837429705,0.7902657332344375,0.7902657332344375
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs,60.0,125,33.538981068108306,43.00647787432075,0.7798588195508681,0.7798588195508681
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,30.0,158,6.324992227371526,12.253769186364268,0.51616707734383,0.51616707734383
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,45.0,158,23.544205773880133,34.21594866715635,0.6881061812113383,0.6881061812113383
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,60.0,158,25.745641629317245,37.07442686141383,0.6944312780762819,0.6944312780762819
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs,30.0,158,10.649244666008352,56.31820428036794,0.18909062890204031,0.18909062890204031
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs,45.0,158,15.891896236432487,131.5183716039807,0.12083404046611144,0.12083404046611144
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs,60.0,158,38.65249088158546,102.8742384352929,0.3757256575551476,0.3757256575551476
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,30.0,127,3.6619393320894043,4.83808019795807,0.7568992621567,0.7568992621567
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,45.0,127,4.711997891674692,5.609389780348664,0.8400196948663117,0.8400196948663117
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,60.0,127,6.263409042099061,7.567736613028645,0.8276462781904899,0.8276462781904899
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs,30.0,127,4.531277799409577,9.654582271947717,0.4693396018360757,0.4693396018360757
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs,45.0,127,5.31909119248773,8.97210078636245,0.5928479092179529,0.5928479092179529
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs,60.0,127,8.041898154004464,12.529300061117837,0.6418473589726594,0.6418473589726594
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,30.0,175,0.7113930879574873,1.6914193041108425,0.42058943410927757,0.42058943410927757
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,45.0,175,5.11627022997518,7.669444975626125,0.667097846876135,0.667097846876135
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,60.0,175,17.15484161374049,18.497942791725833,0.9273918622677266,0.9273918622677266
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs,30.0,175,3.573447488280445,19.231374829647233,0.18581341791391798,0.18581341791391798
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs,45.0,175,8.456462665126393,20.070820144721814,0.4213311964409316,0.4213311964409316
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs,60.0,175,24.876720569777362,35.3744763415376,0.7032392601262761,0.7032392601262761
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,30.0,149,2.811073189216178,3.325106918501265,0.8454083607282081,0.8454083607282081
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,45.0,149,5.986886859515531,6.7726029070208815,0.8839861042656391,0.8839861042656391
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,60.0,149,24.481866346697668,25.722039868227178,0.9517855688008081,0.9517855688008081
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs,30.0,149,3.3891783351708957,5.5296829741128635,0.6129064452767525,0.6129064452767525
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs,45.0,149,7.299290325970482,10.084804131838734,0.7237909859771984,0.7237909859771984
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs,60.0,149,25.367769127958667,29.77617880546395,0.8519484415274825,0.8519484415274825
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,30.0,68,2.028274421780764,3.730027195447621,0.5437693388016602,0.5437693388016602
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,45.0,68,8.287671392004487,8.960260683300998,0.9249364147909226,0.9249364147909226
