metric,observed_mean_file_effect,null_mean,null_standard_deviation,null_raw_99_percentile,observed_z,familywise_99_threshold_z,familywise_p_value,passes
mse_gain_source_vs_anonymous,0.0008922299676436456,-0.0008823226527374681,0.00015693330956643864,-0.00042023058763572345,11.30768620940761,3.28885454813166,0.001,True
rho_gain_source_vs_anonymous,0.004128895015688484,-0.01639798921318234,0.0011394865894093604,-0.013250186925520657,18.014151653606294,3.28885454813166,0.001,True
