file,eligible_ablation_trials,mean_replacement_mse_cost
06022023_cell4_map_SSTtoE_A_cmFormat.mat,2236,0.00018756771876381724
06072023_cell1_map_SSTtoE_A_cmFormat.mat,2544,8.991516182550274e-05
06072023_cell2_map_SSTtoE_A_cmFormat.mat,3900,4.2035295301606464e-05
06072023_cell3_map_SSTtoE_A_cmFormat.mat,1800,3.920517428825418e-05
11302022_cell2_map_SSTtoE_A_cmFormat.mat,3180,7.612377736084162e-05
12012022_cell1_map_SSTtoE_A_cmFormat.mat,1141,0.0001181281857905593
12012022_cell2_map_SSTtoE_A_cmFormat.mat,936,3.937901355360723e-06
12012022_cell3_map_SSTtoE_B_cmFormat.mat,1500,0.000838289788610546
12072022_cell3_map_SSTtoE_A_cmFormat.mat,1980,0.0006206395967550735
