outcome,metric,mean_shrunk_effect,mean_full_effect,mean_shrunk_minus_full,p_value_shrunk_better
pscs_demixed,mse_gain_source_vs_anonymous,0.0008922299676436456,0.0008777067765319931,1.452319111165257e-05,0.06640625
pscs_demixed,rho_gain_source_vs_anonymous,0.004128895015688484,-0.0026276185832238303,0.006756513598912314,0.001953125
pscs,mse_gain_source_vs_anonymous,0.0008358085897874896,0.0006459558355117471,0.00018985275427574273,0.0078125
pscs,rho_gain_source_vs_anonymous,-0.00023173361844908743,-0.06850419976078678,0.0682724661423377,0.001953125
