metric,observed_mean_file_effect,null_mean,null_standard_deviation,null_raw_99_percentile,observed_z,familywise_99_threshold_z,familywise_p_value,passes
mse_gain_source_vs_anonymous,0.0008777067765320264,-0.0010535618728500754,0.00016179386356331954,-0.0005524056758126037,11.936600108608456,3.1951064188091056,0.001,True
rho_gain_source_vs_anonymous,-0.0026276185832238164,-0.029726624150376746,0.0013987002780782853,-0.026220090154665678,19.374419231820728,3.1951064188091056,0.001,True
