file,outcome,eligible_trials,mse_gain_source_vs_zero,mse_gain_source_vs_anonymous,rho_gain_source_vs_anonymous,integrated_error_gain_source_vs_anonymous,peak_error_gain_source_vs_anonymous
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs,2236,0.0010252793344994844,0.0005139934109974302,-0.01130175348202645,0.17074920001938929,0.004369519390258114
06022023_cell4_map_SSTtoE_A_cmFormat.mat,pscs_demixed,2236,0.0011820681484432125,0.0006923557957937089,0.00010405175993344051,0.3140034314438428,0.020376334090655347
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs,2544,8.140388033280361e-05,-0.0005575377191571268,-0.16678808516437857,-0.1078914123275082,-0.004937259408502869
06072023_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,2544,0.0019084033262453109,0.0003814941446398806,-0.026256479909383925,0.22561202135012426,0.010698831664939555
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs,3900,0.00037346863855873937,0.00014807804382936394,-0.064181228131167,0.08251681026967209,0.0045968463686240826
06072023_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,3900,0.0005452856453544539,0.0002135089371919059,0.0010482959817912816,0.1773167369723533,0.010634446190398503
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs,1800,0.00027647521682017714,0.00010429716009214202,-0.10651042624127462,0.00741988112837439,-0.0010540692507841436
06072023_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,1800,0.0004959196093423826,0.00017979847557877832,-0.024200671096577833,0.1265636188093936,0.007604179595328624
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs,3180,0.0005032842221591013,0.0002924550903494764,-0.04557898307740916,0.12919826980278168,0.005136260701841818
11302022_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,3180,0.0007570855009471096,0.00029517834596680853,0.002018737678996644,0.22427722500701233,0.010235701638738926
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs,1141,0.0007006509048217818,-2.3101470090677354e-05,-0.10397071486257813,0.020866408697396886,-0.0005215053381128439
12012022_cell1_map_SSTtoE_A_cmFormat.mat,pscs_demixed,1141,0.00191825336955267,0.0004481042930487229,1.7564663839729613e-05,0.24381496818856688,0.012134641957493768
12012022_cell2_map_SSTtoE_A_cmFormat.mat,pscs,936,-0.0001463850911685114,-0.00016352552273297765,-0.07391664279627762,-0.10280602494413763,-0.004188399856593394
12012022_cell2_map_SSTtoE_A_cmFormat.mat,pscs_demixed,936,-5.843556933913424e-06,2.2670790923538575e-05,-0.0008731117609687963,0.03707808923679051,0.0012192149692353959
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs,1500,0.006049923630996147,0.0034068481254853696,-0.02621016080056386,0.2401418585174409,0.012804599760807993
12012022_cell3_map_SSTtoE_B_cmFormat.mat,pscs_demixed,1500,0.009680374166701524,0.003527707229093418,0.017381300190634087,0.7395646948047618,0.042550933303049085
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs,1980,0.0032372870423594885,0.0020920954008329636,-0.018079803291405953,0.4587611684993347,0.02052279969657225
12072022_cell3_map_SSTtoE_A_cmFormat.mat,pscs_demixed,1980,0.0040462737461634465,0.0021385429765514766,0.007111745242721023,0.7608608410338688,0.03916585569715413
