file,eligible_ablation_trials,mean_replacement_mse_cost
06022023_cell4_map_SSTtoE_A_cmFormat.mat,2236,0.0002007159651157651
06072023_cell1_map_SSTtoE_A_cmFormat.mat,2544,0.00013711584714285225
06072023_cell2_map_SSTtoE_A_cmFormat.mat,3900,5.048368596061559e-05
06072023_cell3_map_SSTtoE_A_cmFormat.mat,1800,4.676602647033713e-05
11302022_cell2_map_SSTtoE_A_cmFormat.mat,3180,8.21149446237513e-05
12012022_cell1_map_SSTtoE_A_cmFormat.mat,1141,0.00013974666214764487
12012022_cell2_map_SSTtoE_A_cmFormat.mat,936,1.0175473847715052e-05
12012022_cell3_map_SSTtoE_B_cmFormat.mat,1500,0.0008608967057487444
12072022_cell3_map_SSTtoE_A_cmFormat.mat,1980,0.0006467795819738942
