file,outcome,power,n_tokens,cross_signal,observed_energy,raw_reliability,shrinkage
12142022_cell1_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,345,0.012028523495415278,0.07338746254446452,0.1639043384028621,0.1639043384028621
12142022_cell1_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,345,0.025762862619022206,0.08972564173292039,0.2871293213561915,0.2871293213561915
12142022_cell1_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,345,0.10564760680817327,0.21127494711451972,0.500047962387646,0.500047962387646
12142022_cell1_map_EtoE_A_cmFormat.mat,pscs,30.0,345,0.029235474399688446,0.5738058594207911,0.05095011478132901,0.05095011478132901
12142022_cell1_map_EtoE_A_cmFormat.mat,pscs,45.0,345,0.11088176453422177,0.608667505707003,0.1821713225933198,0.1821713225933198
12142022_cell1_map_EtoE_A_cmFormat.mat,pscs,60.0,345,0.34803834660513366,1.0009963359451972,0.3476919286387759,0.3476919286387759
12142022_cell2_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,512,0.04829233774742315,0.4111589140979085,0.11745419129092112,0.11745419129092112
12142022_cell2_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,512,0.5444909550102751,2.7240973898295007,0.199879401170879,0.199879401170879
12142022_cell2_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,512,0.9282312230217672,1.4601390624160926,0.6357142596307387,0.6357142596307387
12142022_cell2_map_EtoE_A_cmFormat.mat,pscs,30.0,512,2.3125209225980257,6.451743366196467,0.35843349484642306,0.35843349484642306
12142022_cell2_map_EtoE_A_cmFormat.mat,pscs,45.0,512,9.961330329195615,26.526617865191156,0.37552206541441924,0.37552206541441924
12142022_cell2_map_EtoE_A_cmFormat.mat,pscs,60.0,512,26.836868179930477,35.845960372830675,0.7486720372617326,0.7486720372617326
12142022_cell3_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,439,0.08890808683062351,1.2087305241158122,0.07355492813061859,0.07355492813061859
12142022_cell3_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,439,0.3950801024467494,0.9377911841510929,0.4212879254184755,0.4212879254184755
12142022_cell3_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,439,0.6161505239518259,1.4977573727324387,0.41138206706186975,0.41138206706186975
12142022_cell3_map_EtoE_A_cmFormat.mat,pscs,30.0,439,-0.312924358573048,9.170685051470876,-0.034122244610598464,0.0
12142022_cell3_map_EtoE_A_cmFormat.mat,pscs,45.0,439,1.2219020959605,7.3858802074003265,0.16543757299721812,0.16543757299721812
12142022_cell3_map_EtoE_A_cmFormat.mat,pscs,60.0,439,1.1811093183336998,11.324540649825845,0.10429644387844231,0.10429644387844231
12142022_cell4_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,454,0.027149039610898977,0.15468914861180244,0.17550707243874225,0.17550707243874225
12142022_cell4_map_EtoE_A_cmFormat.mat,pscs_demixed,45.0,454,0.20139450351024116,0.4143817650819611,0.4860119833468229,0.4860119833468229
12142022_cell4_map_EtoE_A_cmFormat.mat,pscs_demixed,60.0,454,0.6810446138346546,1.0142586087761694,0.6714703803760864,0.6714703803760864
12142022_cell4_map_EtoE_A_cmFormat.mat,pscs,30.0,454,0.888735137004745,2.3113864945642395,0.3845030413973654,0.3845030413973654
12142022_cell4_map_EtoE_A_cmFormat.mat,pscs,45.0,454,3.965477942341965,6.128047006898715,0.6471030554886059,0.6471030554886059
12142022_cell4_map_EtoE_A_cmFormat.mat,pscs,60.0,454,8.30987377510173,10.988140623277577,0.7562584116823066,0.7562584116823066
12142022_cell7_map_EtoE_A_cmFormat.mat,pscs_demixed,30.0,603,0.4474195788039118,0.6327014244716989,0.7071575335514756,0.7071575335514756
