date_proxy,outcome,comparison,mse_gain,rho_gain,integrated_error_gain,peak_error_gain,n_files
12142022,pscs,full_vs_gain,1.4502490318705464e-05,-0.00697333972462435,0.0018217763521126528,-2.581867485528834e-05,5
12142022,pscs,full_vs_gain_latency,1.285301806870047e-05,-0.014205541735098881,0.002007645646981429,-7.518827540804115e-05,5
12142022,pscs,full_vs_power,6.827440199530654e-05,-0.007024494688943536,0.034061366846376416,0.0016784476693629245,5
12142022,pscs,gain_latency_vs_power,5.542138392660607e-05,0.007181047046155345,0.032053721199394994,0.0017536359447709656,5
12142022,pscs,gain_vs_power,5.377191167660108e-05,-5.115496431918609e-05,0.03223959049426377,0.0017042663442182128,5
12142022,pscs_demixed,full_vs_gain,4.6612518903386906e-07,0.004781160148376073,0.00011325883545447446,-5.2875374908627205e-05,5
12142022,pscs_demixed,full_vs_gain_latency,2.3099593306593393e-07,0.0028263624615211813,0.0007482990085751151,-0.00012704692534705133,5
12142022,pscs_demixed,full_vs_power,4.091679564029574e-06,0.004781160148376073,0.007798992108845218,0.0006457356978211628,5
12142022,pscs_demixed,gain_latency_vs_power,3.86068363096364e-06,0.0019547976868548923,0.007050693100270103,0.000772782623168214,5
12142022,pscs_demixed,gain_vs_power,3.6255543749957045e-06,0.0,0.007685733273390743,0.0006986110727297899,5
12162022,pscs,full_vs_gain,5.0668967132335015e-06,0.020751155676016292,-0.0011844502520098332,5.3813479258205815e-06,1
12162022,pscs,full_vs_gain_latency,2.079769887382075e-06,0.006671513035461596,-0.0018820069848676235,-7.315153371245144e-05,1
12162022,pscs,full_vs_power,2.362866656656739e-05,0.020751155676016292,0.02212783665406365,0.0016349506813746386,1
12162022,pscs,gain_latency_vs_power,2.1548896679185314e-05,0.014079642640554696,0.024009843638931272,0.00170810221508709,1
12162022,pscs,gain_vs_power,1.8561769853333887e-05,0.0,0.02331228690607348,0.001629569333448818,1
12162022,pscs_demixed,full_vs_gain,4.7378728314378146e-07,0.0074842888624877535,-0.00042582800928003817,-0.00030289167619683074,1
12162022,pscs_demixed,full_vs_gain_latency,3.383023486955346e-07,0.006886937439093688,0.0006136646927663025,-0.00039886469587147727,1
12162022,pscs_demixed,full_vs_power,7.562240953837855e-06,0.0074842888624877535,0.014578349590578105,0.0013206736750110103,1
12162022,pscs_demixed,gain_latency_vs_power,7.223938605142321e-06,0.0005973514233940658,0.013964684897811802,0.0017195383708824875,1
12162022,pscs_demixed,gain_vs_power,7.088453670694074e-06,0.0,0.015004177599858143,0.001623565351207841,1
12192022,pscs,full_vs_gain,0.00013611410918041555,-0.012620994101084075,0.004359614939673847,0.0009133032883366075,4
12192022,pscs,full_vs_gain_latency,0.00010785582752832125,-0.019575028618366644,0.004973024964449263,0.0005222397095737317,4
12192022,pscs,full_vs_power,0.0006807430252829391,-0.012654615815326946,0.12861129235553048,0.005834900697853123,4
12192022,pscs,gain_latency_vs_power,0.0005728871977546178,0.006920412803039698,0.12363826739108122,0.005312660988279391,4
12192022,pscs,gain_vs_power,0.0005446289161025235,-3.362171424287075e-05,0.12425167741585663,0.004921597409516516,4
12192022,pscs_demixed,full_vs_gain,1.0213341279968177e-06,0.002084966086722123,-0.00012619718685478315,0.0004838718087975607,4
12192022,pscs_demixed,full_vs_gain_latency,-3.576466648193367e-07,-7.465314027021996e-05,0.0003228739228471021,0.0003871125841732094,4
12192022,pscs_demixed,full_vs_power,4.598288304827861e-05,0.002084966086722123,0.03323719325230182,0.0032058362240499566,4
12192022,pscs_demixed,gain_latency_vs_power,4.634052971309794e-05,0.002159619226992343,0.03291431932945472,0.0028187236398767475,4
12192022,pscs_demixed,gain_vs_power,4.496154892028179e-05,0.0,0.03336339043915661,0.002721964415252396,4
